id_noticia,fuente,url,titulo,fecha_publicacion,autor,seccion,resumen,cuerpo_texto,metodo_extraccion,fecha_extraccion
1,The New York Times,https://www.nytimes.com/2026/04/16/business/media/notus-news-to-become-the-star.html,Politics News Site NOTUS to Become ‘The Star’,2026-04-16T20:28:51Z,Katie Robertson,Politics,The Washington publication is rebranding as it expands its local news and sports coverage in the wake of substantial layoffs at The Washington Post.,Sin texto disponible,API,2026-06-23 20:39:39
2,The New York Times,https://www.nytimes.com/2025/11/02/us/politics/trump-pirro-washington-prosecutors.html,Trump’s Retribution Campaign Leaves D.C. Prosecutor’s Office in Crisis,2025-11-02T10:00:52Z,Alan Feuer,Politics,"Few places have felt the effects as palpably as the U.S. attorney’s office in Washington, which is deeply enmeshed in the workings of government and has filed criminal cases against President Trump.",Sin texto disponible,API,2026-06-23 20:39:39
3,The New York Times,https://www.nytimes.com/2026/04/27/us/politics/cole-allen-suspect-washington-correspondents-dinner-shooting.html,"Grievance Propelled Gala Attack Suspect Across Country, Authorities Say",2026-04-27T09:04:16Z,"Amy Qin, Chelsia Rose Marcius and Shawn Hubler",Politics,A man who has worked as a tutor and graduated from the California Institute of Technology was charged with trying to assassinate the president after an armed attack at the White House correspondents’ dinner.,Sin texto disponible,API,2026-06-23 20:39:39
4,The New York Times,https://www.nytimes.com/2025/08/19/us/politics-gun-violence-mass-shootings-washington-dc.html,The Politics of Crime Are Perilous for Left and Right Alike,2025-08-19T09:02:04Z,Shaila Dewan,Politics,"President Trump has latched on to concerns about crime, as liberals point to its decline. The politics often flip when it comes to mass shootings.",Sin texto disponible,API,2026-06-23 20:39:39
5,The New York Times,https://www.nytimes.com/2026/01/09/us/politics/ballot-measures-washington-state-wealthy.html,A Financier’s Twist on Buying Influence: Bankrolling Ballot Measures,2026-01-09T10:02:41Z,Anna Griffin,Politics,"Brian Heywood, a Seattle-area hedge fund founder, has spent millions to put conservative initiatives in front of Washington lawmakers and voters. Next up: parental rights and transgender athletes.",Sin texto disponible,API,2026-06-23 20:39:39
6,The New York Times,https://www.nytimes.com/2026/03/19/world/asia/japan-takaichi-washington-internship.html,How Japan’s Leader Found Her Voice in D.C. Decades Ago,2026-03-19T09:04:34Z,Javier C. Hernández and Hisako Ueno,Politics,Prime Minister Sanae Takaichi got her start in politics as an intern for a trailblazing Colorado lawmaker. She returns to Washington this week to meet with President Trump.,Sin texto disponible,API,2026-06-23 20:39:39
7,The New York Times,https://www.nytimes.com/2025/08/25/us/politics/washington-dc-trump.html,"With Trump’s Takeover, Washington Finds a Mission to Resist",2025-08-25T14:35:27Z,"Clyde McGrady, Bernard Mokam and Pooja Salhotra",Politics,"Known more for their museums, monuments and government buildings than their culture, Washingtonians are showing a spirit of dissent as protesters dog federal agents in their streets.",Sin texto disponible,API,2026-06-23 20:39:39
8,The New York Times,https://www.nytimes.com/2025/11/02/us/politics/syrian-president-al-shara-washington-visit.html,Syria’s President to Visit Washington for First Time Since Taking Power,2025-11-02T17:20:52Z,Raja Abdulrahim,Politics,"The president, Ahmed al-Shara, was until recently wanted by the United States as a terrorist with a $10 million bounty on his head.",Sin texto disponible,API,2026-06-23 20:39:39
9,The New York Times,https://www.nytimes.com/2026/04/27/us/politics/king-charles-washington-trump.html,King Charles and Queen Camilla Arrive in the United States,2026-04-27T19:12:36Z,Michael D. Shear,Politics,"The royals will spend four days in the United States, two of them in the capital.",Sin texto disponible,API,2026-06-23 20:39:39
10,The New York Times,https://www.nytimes.com/2026/02/15/us/politics/trumps-american-cult-of-personality.html,Trump’s Relentless Self-Promotion Fosters an American Cult of Personality,2026-02-15T10:02:19Z,Peter Baker,Politics,"President Trump has engaged in a spree of self-aggrandizement unlike any of his predecessors, fostering a mythologized superhuman persona and making himself the inescapable force at home and around the world.",Sin texto disponible,API,2026-06-23 20:39:39
